idstudio;idmovie
3166;tt0029583
3166;tt0032910
6125;tt0032910
2;tt0032910
2;tt0033563
3166;tt0033563
3166;tt0034492
2;tt0042332
3166;tt0042332
6;tt0046183
2;tt0046183
3166;tt0046183
2;tt0048280
3166;tt0048280
2;tt0053285
3166;tt0053285
2;tt0055254
3166;tt0055254
2;tt0057546
3166;tt0057546
3166;tt0058331
2;tt0058331
2;tt0061852
2;tt0065421
3166;tt0065421
2;tt0070608
3166;tt0070608
2;tt0076618
3166;tt0076618
56;tt0090633
33;tt0090633
6422;tt0090633
1;tt0095489
33;tt0095489
56;tt0095489
6422;tt0095489
20448;tt0095489
2;tt0095776
554;tt0095776
10342;tt0096283
12516;tt0096283
12523;tt0096283
33;tt0170016
23;tt0170016
142395;tt0170016
2090;tt11199410
124710;tt11199410
2;tt0097757
10282;tt0097757
112779;tt0099472
6125;tt0101414
2;tt0101414
10282;tt0101414
2;tt0103639
104;tt0106965
508;tt0106965
644;tt0106965
5739;tt0106965
2;tt0110357
6125;tt0110357
33;tt0112431
2537;tt0112431
3475;tt0113198
5391;tt0113198
2;tt0113198
6125;tt0113198
6130;tt0113442
89131;tt0113442
11661;tt0113442
174;tt0113442
6125;tt0114148
2;tt0114148
3;tt0114709
2173;tt0115433
2;tt0115433
2;tt0116583
216;tt0117008
559;tt0117008
34;tt0117008
24955;tt2279373
4;tt2279373
2348;tt2279373
4859;tt2279373
8921;tt2279373
10256;tt2279373
174;tt0117705
8816;tt0117705
55527;tt0117705
2785;tt0117705
6125;tt0119282
2;tt0119282
3;tt0120363
3;tt0120623
6125;tt0120762
2;tt0120762
2;tt0120783
521;tt0120794
7;tt0120794
6125;tt0120855
2;tt0120855
13730;tt0120855
6125;tt0120917
2;tt0120917
521;tt0126029
7;tt0126029
520;tt0126029
6125;tt0133240
2;tt0133240
5555;tt0164912
58331;tt0164912
5;tt0164912
34;tt0164912
521;tt0166813
7;tt0166813
6973;tt0181627
8175;tt0181627
591;tt0181627
792;tt0181627
3;tt0198781
2;tt0198781
10342;tt0206013
11200;tt0206013
11846;tt0206013
10807;tt0227538
7405;tt0227538
14;tt0227538
6125;tt0230011
2;tt0230011
79;tt0239395
172;tt0239395
1757;tt0239395
3169;tt0239395
6363;tt0239395
174;tt0239395
5;tt0243585
14440;tt0243585
58331;tt0243585
34;tt0243585
3;tt0266543
25;tt0268380
9383;tt0268380
11749;tt0268380
2;tt0275847
6125;tt0275847
3475;tt0279967
29070;tt0279967
5391;tt0283426
7405;tt0287717
7;tt0298148
520;tt0298148
521;tt0298148
2;tt0299172
297;tt0312004
521;tt0312004
3;tt0317219
2;tt0317219
3;tt0317705
2;tt0317705
5391;tt0318403
521;tt0327084
6125;tt0328880
1867;tt0338348
4171;tt0338348
11395;tt0338348
97;tt0338348
2265;tt0338348
7405;tt0338459
104;tt0344854
854;tt0344854
2525;tt0344854
6896;tt0344854
10342;tt0347618
11846;tt0347618
11847;tt0347618
2537;tt0366548
8089;tt0366548
79;tt0367594
80;tt0367594
8601;tt0367594
55512;tt0367594
174;tt0367594
81;tt0367594
429;tt0372784
923;tt0372784
9993;tt0372784
9996;tt0372784
19231;tt0372784
174;tt0372784
491;tt0375568
3463;tt0375568
4262;tt0375568
3;tt0382932
2;tt0382932
2;tt0396555
6125;tt0396555
6125;tt0397892
6125;tt0398286
2;tt0398286
521;tt0413267
520;tt0413267
5682;tt0414853
2348;tt0414853
4;tt0414853
4;tt0416236
862;tt0416236
8177;tt0416908
8178;tt0416908
4968;tt0416908
11918;tt0416908
174;tt0416908
1163;tt0420238
5;tt0423294
2251;tt0423294
34;tt0423294
521;tt0424095
297;tt0424095
10807;tt0424774
3;tt0435761
2;tt0436339
130;tt0436339
3639;tt0436339
521;tt0441773
5391;tt0447854
521;tt0448694
138907;tt0453556
3463;tt0453556
70995;tt0453556
30900;tt0453556
308;tt0453556
174;tt0453556
521;tt0479952
520;tt0479952
521;tt0481499
2;tt0780521
6125;tt0780521
5391;tt0823671
22135;tt0823671
2251;tt0844471
5;tt0844471
34;tt0844471
520;tt0864835
521;tt0864835
73952;tt0864835
73951;tt0864835
521;tt0892769
521;tt0892782
521;tt0892791
3;tt0910970
2;tt0910970
4;tt0983193
5;tt0983193
11;tt0983193
56;tt0983193
2348;tt0983193
9169;tt0983193
862;tt0983193
7;tt0983193
521;tt1001526
520;tt1001526
2932;tt1001526
11327;tt10127562
12386;tt10127562
882;tt10127562
10038;tt10127562
3;tt1049413
9383;tt1080016
11749;tt1080016
25;tt1080016
437;tt1109624
694;tt1109624
20664;tt1109624
356;tt1109624
104;tt1109624
10611;tt1109624
22123;tt1109624
104931;tt1109624
308;tt1109624
17012;tt11276598
3;tt1216475
2;tt1216475
2;tt1217209
3;tt1217209
5391;tt1217213
22135;tt1217213
521;tt1277953
520;tt1277953
79;tt1287468
102301;tt1287468
1757;tt1287468
102302;tt1287468
174;tt1287468
17;tt1287468
521;tt1302011
33;tt1323594
6704;tt1323594
28381;tt1402488
79;tt1402488
28382;tt1402488
174;tt1402488
9383;tt1436562
11749;tt1436562
25;tt1436562
521;tt1446192
3;tt1453405
2;tt1453405
33;tt1482459
6704;tt1482459
174;tt1490017
79;tt1490017
41624;tt1490017
4081;tt1490017
2723;tt1490017
829;tt1490017
25120;tt1490017
2;tt1587310
16314;tt1587310
1632;tt1594972
67327;tt1594972
72280;tt1594972
72281;tt1594972
49983;tt1610301
102897;tt1610301
75234;tt1620981
46875;tt1620981
13240;tt1620981
21;tt1620981
521;tt1646971
20154;tt1646971
33;tt1690953
6704;tt1690953
2;tt1691917
6125;tt1691917
23948;tt1754455
6488;tt1754455
694;tt1764625
105276;tt1764625
15285;tt1764625
2875;tt1764625
16742;tt1764625
1182;tt1764625
6125;tt1772341
2;tt1772341
43498;tt1800254
521;tt1860353
2;tt1979376
3;tt1979376
3;tt1979388
5;tt1985949
18642;tt1985949
91920;tt1985949
34;tt1985949
34;tt1985966
5;tt1985966
2251;tt1985966
49983;tt2066832
521;tt2091256
3;tt2096673
2;tt2096673
93408;tt2245084
6125;tt2245084
2;tt2245084
76266;tt2267968
40890;tt2267968
521;tt2267968
3;tt2277860
6704;tt2293640
33;tt2293640
2;tt2294629
6125;tt2294629
28320;tt2296777
24955;tt2296777
21;tt2296777
9383;tt2357291
11749;tt2357291
25;tt2357291
3;tt2380307
2;tt2380307
7311;tt2398241
5;tt2398241
2251;tt2398241
34;tt2398241
6973;tt2425618
34;tt2510894
5;tt2510894
2251;tt2510894
33;tt2709768
3341;tt2709768
6704;tt2709768
1778;tt2709768
89486;tt2822672
2787;tt2822672
89487;tt2822672
89488;tt2822672
89489;tt2822672
6125;tt2948356
2;tt2948356
22213;tt2974918
711;tt2974918
508;tt2974918
10930;tt2974918
5219;tt2974918
3475;tt2980706
18713;tt2980706
22135;tt2980706
2723;tt3014284
77973;tt3014284
829;tt3014284
25120;tt3014284
4081;tt3014284
28831;tt3148834
10159;tt3148834
10160;tt3148834
694;tt3148834
39092;tt3332410
2669;tt3394878
7639;tt3394878
2999;tt3394878
4606;tt3394878
130170;tt3394878
130171;tt3394878
6181;tt3394878
33;tt3469046
6704;tt3469046
6704;tt3470600
33;tt3470600
3341;tt3470600
1778;tt3470600
829;tt3513498
2723;tt3513498
4081;tt3513498
8089;tt3513498
25120;tt3513498
174;tt3513498
77973;tt3513498
2;tt3521164
6125;tt3521164
143191;tt3521164
33089;tt3526408
726;tt3526408
12407;tt3526408
23499;tt3526408
3;tt3606752
2;tt3606756
3;tt3606756
521;tt3874544
2723;tt4116284
2785;tt4116284
8089;tt4116284
9993;tt4116284
77973;tt4116284
174;tt4116284
4081;tt4116284
40890;tt4155534
42622;tt4155534
42623;tt4155534
97584;tt4426464
22826;tt4450396
7225;tt4450396
437;tt4468740
694;tt4468740
20664;tt4468740
104931;tt4468740
104;tt4468740
10611;tt4468740
106055;tt4468740
2;tt4566758
14714;tt4566758
103698;tt4566758
89254;tt4566758
41624;tt4624424
25120;tt4624424
174;tt4624424
5;tt4633694
2251;tt4633694
7505;tt4633694
14439;tt4633694
77973;tt4633694
84041;tt4633694
34;tt4633694
8676;tt4731008
694;tt4731008
10159;tt4731008
10160;tt4731008
67089;tt4788934
308;tt4788934
69484;tt4788934
5;tt4877122
2251;tt4877122
34;tt4877122
2;tt5028340
2527;tt5028340
17021;tt5028340
5371;tt5042436
33;tt5113040
6704;tt5113040
1778;tt5113040
3341;tt5113040
5556;tt5113040
111025;tt5206260
53152;tt5206260
13240;tt5206260
126;tt5709188
104972;tt5709188
423;tt5709188
2;tt5848272
6125;tt5848272
81139;tt5851786
95590;tt5851786
105298;tt5851786
20613;tt5851786
174;tt5884052
923;tt5884052
12654;tt5884052
882;tt5884052
120406;tt5884052
12288;tt5884052
12307;tt5884052
76467;tt5884052
11537;tt6348138
13184;tt6348138
10159;tt6563576
78298;tt6563576
521;tt6587640
33;tt6587640
5372;tt6595896
12653;tt6595896
9149;tt6595896
12655;tt6595896
3034;tt6595896
33;tt6911608
923;tt6911608
10338;tt6911608
34441;tt6911608
4171;tt6911608
1778;tt6911608
3341;tt6911608
111963;tt6911608
107335;tt7133686
82853;tt7133686
2;tt7146812
3;tt7146812
76266;tt7488208
51627;tt7488208
124805;tt7736496
21199;tt7736496
53215;tt7736496
121424;tt7846844
923;tt7846844
4888;tt8001346
1115;tt8001346
104;tt8001346
310;tt8001346
20409;tt8001346
8649;tt8001346
11620;tt8001346
11246;tt8001346
34774;tt8001346
5372;tt8108230
12653;tt8108230
3034;tt8108230
12654;tt8108230
31058;tt8108230
81139;tt8675288
5372;tt8856470
31058;tt8856470
12654;tt8856470
12288;tt8856470
9149;tt8856470
140450;tt8856470
3034;tt8856470
114052;tt8856470
8157;tt8856470
882;tt8856470
12655;tt8856470
12653;tt8856470
2090;tt8954732
5372;tt9760504
2251;tt1430626
297;tt1430626
5;tt1430626
34;tt1430626
436;tt2990140
12199;tt2990140
36434;tt2990140
2090;tt7608418
93466;tt1219827
4;tt1219827
3407;tt1219827
7294;tt1219827
14439;tt1219827
17449;tt1219827
44311;tt1219827
83645;tt1219827
88981;tt1219827
7;tt1219827
70;tt0335266
10146;tt0335266
1780;tt0335266
113241;tt0335266
2090;tt8709036
436;tt11057644
429;tt0974015
9993;tt0974015
41624;tt0974015
9995;tt0974015
507;tt0974015
102618;tt0974015
444;tt0974015
174;tt0974015
128064;tt0974015
8582;tt0974015
50494;tt3256812
72118;tt3256812
25120;tt6182908
174;tt6182908
47586;tt6182908
61377;tt4587656
2251;tt4587656
5;tt4587656
6254;tt4587656
10221;tt4587656
10156;tt4587656
34;tt4587656
2090;tt10060094
64216;tt10060094
6125;tt4520988
